start training greencrab
Start training for LSTM_PPO
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Logging to /home/rstudio/logs/RecurrentPPO_6
---------------------------------
| rollout/           |          |
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -1.09       |
| time/                   |             |
|    fps                  | 8           |
|    iterations           | 507         |
|    time_elapsed         | 8092        |
|    total_timesteps      | 64896       |
| train/                  |             |
|    approx_kl            | 0.021629604 |
|    clip_fraction        | 0.112       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.91       |
|    explained_variance   | 0.085       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0147     |
|    n_updates            | 5060        |
|    policy_gradient_loss | -0.0112     |
|    std                  | 0.677       |
|    value_loss           | 0.00303     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -1.08       |
| time/                   |             |
|    fps                  | 8           |
|    iterations           | 508         |
|    time_elapsed         | 8105        |
|    total_timesteps      | 65024       |
| train/                  |             |
|    approx_kl            | 0.012550625 |
|    clip_fraction        | 0.0305      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.91       |
|    explained_variance   | -0.00823    |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0095     |
|    n_updates            | 5070        |
|    policy_gradient_loss | -0.00631    |
|    std                  | 0.676       |
|    value_loss           | 0.0185      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 101        |
|    ep_rew_mean          | -1.06      |
| time/                   |            |
|    fps                  | 8          |
|    iterations           | 509        |
|    time_elapsed         | 8119       |
|    total_timesteps      | 65152      |
| train/                  |            |
|    approx_kl            | 0.01391929 |
|    clip_fraction        | 0.148      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.9       |
|    explained_variance   | 0.0144     |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0087     |
|    n_updates            | 5080       |
|    policy_gradient_loss | -0.00292   |
|    std                  | 0.674      |
|    value_loss           | 0.0313     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -1.06       |
| time/                   |             |
|    fps                  | 8           |
|    iterations           | 510         |
|    time_elapsed         | 8134        |
|    total_timesteps      | 65280       |
| train/                  |             |
|    approx_kl            | 0.005655339 |
|    clip_fraction        | 0.0109      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.9        |
|    explained_variance   | 0.121       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00502    |
|    n_updates            | 5090        |
|    policy_gradient_loss | -0.00155    |
|    std                  | 0.673       |
|    value_loss           | 0.0139      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -1.04       |
| time/                   |             |
|    fps                  | 8           |
|    iterations           | 511         |
|    time_elapsed         | 8143        |
|    total_timesteps      | 65408       |
| train/                  |             |
|    approx_kl            | 0.025413685 |
|    clip_fraction        | 0.188       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.89       |
|    explained_variance   | 0.127       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0167     |
|    n_updates            | 5100        |
